name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,244,294245648,,apartments,,,"POLYGON ((-111.9224079 33.4198681, -111.9223929 33.4200253, -111.9227189 33.4200469, -111.9227339 33.4198897, -111.9224079 33.4198681))",POINT (-111.9225634 33.4199575),531.6,5721.7
,245,294245649,,apartments,,,"POLYGON ((-111.922078 33.4199965, -111.9214026 33.4198546, -111.9214478 33.4197048, -111.9221232 33.4198467, -111.922078 33.4199965))",POINT (-111.9217629 33.4198507),1109,11936.8
,246,294245650,,roof,,,"POLYGON ((-111.9215374 33.4195847, -111.9215334 33.419635, -111.9217895 33.4196709, -111.9218928 33.4196921, -111.9219062 33.4196362, -111.9217935 33.4196127, -111.9215374 33.4195847))",POINT (-111.9217224 33.4196344),210,2260.8
,247,294245651,,roof,,,"POLYGON ((-111.9220018 33.4196547, -111.9219881 33.4197033, -111.9223462 33.4197741, -111.92236 33.4197254, -111.9220018 33.4196547))",POINT (-111.9221741 33.4197144),189.6,2041.1
,248,294245652,,roof,,,"POLYGON ((-111.9224204 33.419787, -111.9227238 33.4198471, -111.9227369 33.4198008, -111.9224336 33.4197407, -111.9224204 33.419787))",POINT (-111.9225787 33.4197939),152.9,1646
,249,297781687,,commercial,,,"POLYGON ((-111.9394364 33.4256233, -111.9394349 33.4258941, -111.9395114 33.4258942, -111.9398551 33.4258935, -111.9398539 33.4256249, -111.9394364 33.4256233))",POINT (-111.9396448 33.4257591),1164.7,12537.2
,250,327757113,,yes,,,"POLYGON ((-111.9252675 33.4099975, -111.9247351 33.4100023, -111.924729 33.4095351, -111.9248308 33.4095342, -111.9248319 33.4096158, -111.9248533 33.4096156, -111.924857 33.4098996, -111.9251445 33.409897, -111.9251396 33.4095191, -111.9252613 33.409518, -111.9252675 33.4099975))",POINT (-111.9250022 33.4098034),1478.3,15911.8
,251,327757115,,yes,,,"POLYGON ((-111.924748 33.409255, -111.9247437 33.4087454, -111.9248347 33.4087448, -111.9248345 33.4087163, -111.9249885 33.4087154, -111.9249884 33.4087034, -111.9254356 33.4087007, -111.9254357 33.408707, -111.9254972 33.4087066, -111.9254975 33.4087409, -111.92562 33.4087402, -111.9256576 33.4087039, -111.9258765 33.4087026, -111.9259106 33.4087385, -111.9259673 33.4087381, -111.925972 33.4092892, -111.9255795 33.4092915, -111.9255797 33.4093178, -111.9253771 33.4093195, -111.9253683 33.4092513, -111.924748 33.409255))",POINT (-111.9253691 33.4089955),7089.9,76314.9
,252,327757118,,yes,,,"POLYGON ((-111.9243017 33.4091398, -111.9241999 33.4091402, -111.9241997 33.4090875, -111.9243015 33.4090872, -111.9243017 33.4091398))",POINT (-111.9242507 33.4091137),55.3,594.7
,253,327757122,,yes,,,"POLYGON ((-111.9229177 33.4097694, -111.922786 33.4097699, -111.9227857 33.4097172, -111.9229175 33.4097168, -111.9229177 33.4097694))",POINT (-111.9228517 33.4097433),71.5,769.7
,254,327757123,,yes,,,"POLYGON ((-111.9243313 33.4097587, -111.9241995 33.4097592, -111.9241993 33.4097065, -111.924331 33.4097061, -111.9243313 33.4097587))",POINT (-111.9242653 33.4097326),71.5,769.7
Juniper Hall,255,338921486,,dormitory,,,"POLYGON ((-111.9267145 33.4159873, -111.926554 33.415989, -111.9265519 33.415709, -111.9265316 33.4157056, -111.9265357 33.415351, -111.9265641 33.4153476, -111.9265661 33.4153018, -111.9266353 33.415295, -111.9266231 33.4152764, -111.9267105 33.4152424, -111.926743 33.4153103, -111.9266759 33.415334, -111.926676 33.4153524, -111.9266901 33.4153521, -111.9266998 33.4153602, -111.9266883 33.4156855, -111.9267069 33.4156851, -111.9267145 33.4159873))",POINT (-111.9266252 33.4156317),1167.5,12566.5
Rosewood Hall,256,338921487,,dormitory,,,"POLYGON ((-111.9267145 33.4159873, -111.9267131 33.416182, -111.9266899 33.416182, -111.9266976 33.4164571, -111.9268548 33.4164565, -111.926854 33.4165729, -111.9267 33.4165722, -111.9267007 33.4166282, -111.9266052 33.4166269, -111.9266068 33.4166507, -111.9265313 33.4166513, -111.9265313 33.4161177, -111.926549 33.4161151, -111.926554 33.415989, -111.9267145 33.4159873))",POINT (-111.9266404 33.4163426),1297.5,13966.4
Willow Hall,257,338921488,,dormitory,,,"POLYGON ((-111.9270746 33.4159803, -111.9270791 33.4165666, -111.926996 33.4165654, -111.9269947 33.4165778, -111.9269196 33.4165778, -111.9269196 33.416015, -111.926821 33.4160131, -111.9268179 33.4159977, -111.9268179 33.4159797, -111.9269182 33.4159799, -111.9270746 33.4159803))",POINT (-111.9269932 33.4162673),994.5,10704.8
Islamic Community Center,258,339041927,,yes,place_of_worship,,"POLYGON ((-111.9372855 33.424201, -111.9371651 33.4241995, -111.9370262 33.4241803, -111.9369289 33.4241988, -111.9369103 33.4242187, -111.9368254 33.4241722, -111.9368422 33.424153, -111.9368174 33.4240718, -111.936867 33.4239957, -111.9368519 33.4239462, -111.9368466 33.4239078, -111.936867 33.4238783, -111.9369094 33.4238694, -111.9369554 33.4238827, -111.9372802 33.4238835, -111.9372855 33.424201))",POINT (-111.9370621 33.4240404),1421.7,15303.6
McCord Hall,259,339043001,,university,,,"POLYGON ((-111.9336183 33.4169509, -111.9336163 33.4168067, -111.9335269 33.4168067, -111.9333947 33.4168305, -111.9332545 33.4168814, -111.9331447 33.416956, -111.9330797 33.4170222, -111.9330573 33.4169289, -111.9330532 33.4168186, -111.9330939 33.4167015, -111.933163 33.4165946, -111.9332626 33.4165013, -111.9333521 33.4164504, -111.9333012 33.4162824, -111.9332698 33.4162981, -111.9331488 33.4163588, -111.9330512 33.4164385, -111.932974 33.4165234, -111.9329089 33.4166285, -111.932852 33.4167575, -111.9328418 33.4169034, -111.9328622 33.4170256, -111.9328964 33.4171119, -111.9329679 33.4172309, -111.9336183 33.4169509))",POINT (-111.933149 33.4168202),3100,33368.1
SkySpace Ramada: Air Apparent,260,339044798,,,shelter,,"POLYGON ((-111.9273404 33.4195097, -111.9270446 33.4194621, -111.9271001 33.4192127, -111.9272473 33.4192374, -111.9273989 33.4192628, -111.9273404 33.4195097))",POINT (-111.9272209 33.4193616),789.1,8493.9
,261,339640693,,,parking,,"POLYGON ((-111.9370096 33.4140873, -111.9366503 33.4140918, -111.9366503 33.4144321, -111.936712 33.4144635, -111.9370109 33.4144569, -111.9370096 33.4140873))",POINT (-111.9368312 33.414274),1367.4,14718.7
,262,339640694,,,parking,,"POLYGON ((-111.9357008 33.4145418, -111.9356901 33.4140761, -111.9351483 33.4140784, -111.9351509 33.4142821, -111.9350812 33.4142821, -111.9350893 33.4145508, -111.9357008 33.4145418))",POINT (-111.9354027 33.4143187),2815,30299.9
,263,386273972,,roof,,,"POLYGON ((-111.9302777 33.418037, -111.9298734 33.4180386, -111.9298706 33.4175505, -111.930275 33.4175489, -111.9302777 33.418037))",POINT (-111.9300742 33.4177937),2034.4,21898.1
,264,386274033,,roof,,,"POLYGON ((-111.9346846 33.4155216, -111.9333735 33.4155441, -111.9333671 33.4150403, -111.9346805 33.4150336, -111.9346846 33.4155216))",POINT (-111.9340229 33.4152849),6708.7,72211.3
